candidate_id,candidate_origin,name,brand_or_handle,segment,primary_platform_or_asset,public_profile_url,contact_type,contact_source_url,contact_value_public,match_reason,owned_audience_signal,monetization_signal,ai_affinity,network_value_signal,evidence_url_1,evidence_summary_1,evidence_url_2,evidence_summary_2,fit_audience,fit_monetization,fit_multiplatform,fit_content_pressure,fit_fan_relationship,fit_ai_affinity,fit_score,act_reachability,act_early_adopter,act_switching_ease,act_size_fit,act_immediate_value,activation_score,net_managed_creator_network,net_creator_facing_audience,net_owned_community,net_distribution_leverage,network_score,priority_score,priority,previous_fit_score,previous_activation_score,previous_network_score,previous_priority_score,verification_level,verified_at,funnel_status,outreach_status,risk_or_caveat,scoring_version
035,new80,Justin Moore,Creator Wizard,Creator Entrepreneur / Creator Educator,Newsletter + coaching + community,https://www.creatorwizard.com/about,Official site / newsletter,https://www.creatorwizard.com/,官网联系/Newsletter,长期研究品牌合作，经营 Creator Wizard、社群、教练和教育产品；可同时作为用户和 Creator Network 节点。,High,Education / coaching / sponsorship training / community,Medium-High,Very High,https://www.creatorwizard.com/about,官方 About 介绍长期 Creator 与品牌合作经历。,https://pages.creatorwizard.com/,官方 Newsletter/Creator 资源入口。,20,20,10,10,10,10,80,0,10,15,10,20,55,30,25,15,10,80,72.5,P2,97,82,99,92.9,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
019,pilot20,Manav Singh,Manav Singh,AI-native Creator / Educator,YouTube + Instagram,https://www.instagram.com/manavsingh.ai/,Public business email / Instagram,https://salda.ws/video.php?id=42vdBvns21I,manavsinghcreations@gmail.com; Instagram @manavsingh.ai,持续教授 AI Influencer、AI UGC 和视频生成工作流，与 Onely 的目标用户高度重叠。,Medium-High,Education / creator content,High,Medium,https://salda.ws/video.php?id=42vdBvns21I,Jul 2026 video lists Instagram @manavsingh.ai and business email while teaching AI influencer workflows.,https://salda.ws/video.php?id=uiEjH3_j4Ug,"Aug 2026 video independently repeats the same Instagram handle and business email, confirming current activity and contact consistency.",15,15,10,10,5,15,70,25,20,15,15,20,95,10,20,0,10,40,71.5,P2,84,84,55,78.2,B,2026-09-13,candidate_verified,not_contacted_case_restriction,"Identity/activity/contact are cross-checked across multiple current video descriptions, but direct first-party YouTube/Instagram pages were not fetchable in this verification pass; keep at B rather than A.",v2.0-evidence-rubric-50-30-20
066,new80,Nathan Lands,Lore Brief,AI-native Creator / Media,AI newsletter + podcast + products,https://nathanlands.com/,Official site / social,https://nathanlands.com/,官网公开联系/社媒,经营 AI Newsletter、Podcast、产品与社区，兼具 Builder 与 Creator 属性，早期采用意愿高。,High,Newsletter / media / products / community,Very High,High,https://nathanlands.com/,官方主页展示 AI 内容和业务。,,,20,15,10,15,10,15,85,10,20,15,10,20,75,0,10,10,10,30,71.0,P2,92,80,78,85.6,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
026,new80,Jade Beason,Jade Beason,Creator Entrepreneur / Creator Educator,Newsletter + consulting + creator education,https://jadebeason.com/,Public business email,https://jadebeason.com/contact,hello@jadebeason.com,专注 Creator Economy 教育、咨询和公开演讲，既是用户又具有较高网络价值。,High,Consulting / education / newsletter,Medium-High,High,https://jadebeason.com/,官方主页展示创作者教育与咨询业务。,https://jadebeason.com/contact,官方联系页公开商务邮箱。,20,20,5,10,10,10,75,20,10,15,10,20,75,20,25,5,5,55,71.0,P2,90,80,80,85.0,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
048,new80,Pat Flynn,Smart Passive Income,Creator Entrepreneur / Educator,Podcast + YouTube + courses + community,https://www.smartpassiveincome.com/,Official contact form,https://www.smartpassiveincome.com/contact/,官网联系表单,成熟 Creator Business，覆盖播客、YouTube、课程、社群和创业教育；网络价值高。,High,Courses / community / sponsorship / media,Medium-High,Very High,https://www.smartpassiveincome.com/,官方主页展示内容和商业产品。,https://www.smartpassiveincome.com/contact/,官方联系入口。,20,15,15,15,10,10,85,15,10,15,10,20,70,10,0,10,15,35,70.5,P2,94,55,95,82.5,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
036,new80,Colin Rosenblum & Samir Chaudry,Colin and Samir,Creator Entrepreneur / Media,YouTube + newsletter + creator course,https://www.colinandsamir.com/blueprint,Public business email,https://www.colinandsamir.com/blueprint,colinandsamir@gmail.com,专注 Creator Economy 的媒体和教育品牌，拥有课程、Newsletter 与创作者社区，网络价值极高。,High,Media / course / sponsorship / newsletter,Medium-High,Very High,https://www.colinandsamir.com/blueprint,官方 Creator Business 教育产品。,https://www.colinandsamir.com/,官方品牌主页。,20,15,10,15,10,10,80,20,10,15,10,20,75,0,25,5,10,40,70.5,P2,96,62,98,86.2,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
074,new80,Mckay Wrigley,Mckay Wrigley / Takeoff AI,AI-native Creator / Educator,AI education + community,https://www.mckaywrigley.com/,Public business email,https://www.mckaywrigley.com/contact,mckay@mckaywrigley.com,构建并教授 AI，有明确教育/社区业务和公开邮箱，是高概率 Beta Early Adopter。,High,AI education / community / sponsorship,Very High,Medium-High,https://www.mckaywrigley.com/,官方主页。,https://www.mckaywrigley.com/contact,官方联系页公开邮箱。,20,15,5,5,10,15,70,20,20,15,10,20,85,10,20,15,5,50,70.5,P2,94,91,62,86.7,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
001,pilot20,Rocky Veen,Rocky Veen,AI-native Creator / Tech UGC,Website + Instagram/TikTok,https://rockyveen.com/,Public business email / DM,https://rockyveen.com/,官网公开合作邮箱/社媒,AI、SaaS、Creator Tech 垂类，已有大量商业内容与自有受众；既懂软件又具备内容商业化能力。,High,Brand collaborations / creator services,High,Medium-High,https://rockyveen.com/,官网明确定位 AI/SaaS/Tech UGC，并展示商业合作与受众规模。,https://rockyveen.com/,官网提供合作联系渠道与社媒入口。,15,15,10,15,5,15,75,25,20,20,10,20,95,0,10,0,10,20,70.0,P2,92,82,65,83.6,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
065,new80,Ben Tossell,Ben's Bites,AI-native Creator / Newsletter,AI newsletter + education,https://bentossell.com/,Public team email,https://catalog.bensbites.com/lp/marketing-transformation-pack,team@bensbites.co,经营 AI Newsletter、教育内容与产品，拥有稳定受众和商业化渠道，且公开联系清晰。,High,Newsletter / education / sponsorship,Very High,Very High,https://bentossell.com/,官方个人主页。,https://catalog.bensbites.com/about,Ben's Bites 官方介绍。,20,15,5,10,10,15,75,20,20,15,10,20,85,10,10,5,5,30,69.0,P2,95,65,90,85.0,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
040,new80,Josh Spector,Josh Spector,Creator Entrepreneur / Audience Strategist,Newsletter + consulting,https://joshspector.com/,Public business email,https://joshspector.com/contact/,josh@joshspector.com,专注受众增长与 Creator Business，经营 Newsletter、咨询和教育产品，且直接公开联系方式。,High,Consulting / newsletter / education,Medium-High,High,https://joshspector.com/,官方主页展示 Creator/Audience 业务。,https://joshspector.com/contact/,官方联系页公开邮箱。,20,20,5,10,10,10,75,20,10,15,10,20,75,10,25,5,5,45,69.0,P2,91,84,80,86.7,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
037,new80,Anne-Laure Le Cunff,Ness Labs,Creator Entrepreneur / Educator,Newsletter + community + courses,https://nesslabs.com/consulting,Official booking/contact,https://nesslabs.com/consulting,官网咨询/联系入口,运营 Newsletter、会员社群、课程和咨询，典型知识型 Creator Business，工具碎片化程度高。,High,Membership / consulting / courses / newsletter,High,High,https://nesslabs.com/consulting,官方咨询页展示商业服务。,https://nesslabs.com/,Ness Labs 主页展示内容与社群业务。,20,20,10,10,15,10,85,0,15,15,10,20,60,10,0,20,10,40,68.5,P2,93,75,88,86.6,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
067,new80,Alex Volkov,ThursdAI,AI-native Creator / Community,AI show + newsletter + community,https://thursdai.news/about,Official site / social,https://thursdai.news/about,官网社媒/联系入口,经营 AI Show、Newsletter 并有产品/咨询背景，社区属性和 AI 深度兼具。,High,Media / consulting / community,Very High,High,https://thursdai.news/about,官方 About 展示 AI 节目和个人业务。,,,20,15,10,10,10,15,80,10,20,15,10,20,75,0,10,10,10,30,68.5,P2,90,82,70,83.6,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
054,new80,Rachel Woods,The AI Exchange,AI-native Creator / Community,Community + AI education,https://www.theaiexchange.com/community-membership,Official site / membership contact,https://www.theaiexchange.com/community-membership,官网联系/会员入口,经营付费 AI 社群与教育产品，自有受众、订阅和社区关系均与 Onely 核心模块强匹配。,High,Paid membership / AI education / community,Very High,Very High,https://www.theaiexchange.com/community-membership,官方付费会员页面。,https://parrotlabs.io/,公开业务背景可交叉核验。,20,20,5,5,15,15,80,0,20,15,10,20,65,10,10,20,5,45,68.5,P2,96,85,90,91.5,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
002,pilot20,Maureen Evelyn,Maureen Evelyn / Viral Creator Circle,Creator Entrepreneur,Skool + social,https://www.skool.com/the-creator-accelerator-7580/about,Community / public social,https://www.skool.com/the-creator-accelerator-7580/about,Skool/公开社媒,经营 Creator 教育、会员/社群与服务，已经形成内容→受众→付费的 Creator Business 闭环。,High,Membership / creator education / coaching,Medium,High,https://www.skool.com/the-creator-accelerator-7580/about,公开社群页显示 Creator 教育和会员运营。,,,20,20,10,10,15,5,80,10,5,15,10,20,60,20,0,20,10,50,68.0,P2,94,70,82,84.4,B,2026-09-13,candidate_verified,not_contacted_case_restriction,提交前建议再核对最新公开商务邮箱。,v2.0-evidence-rubric-50-30-20
033,new80,Nicolas Cole,Nicolas Cole,Creator Entrepreneur / Writing Educator,Newsletter + writing products,https://www.nicolascole.com/,Official contact form,https://www.nicolascole.com/,官网联系入口,经营写作教育、Newsletter、书籍和数字产品，并公开讨论 AI 写作与内容商业化。,High,Writing programs / paid content / books,High,High,https://www.nicolascole.com/,官方主页展示写作与商业产品。,,,20,20,5,10,10,10,75,15,15,15,10,20,75,10,20,5,5,40,68.0,P2,92,76,82,85.2,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
041,new80,Amanda Natividad,Amanda Natividad,Creator Entrepreneur / Marketing Educator,Newsletter + podcast + consulting,https://amandanat.com/,Official site / social,https://amandanat.com/,官网公开社媒/联系入口,运营 Zero Click Marketing 内容、Newsletter、播客与咨询，具备稳定受众和营销工具使用经验。,High,Consulting / newsletter / sponsorship,High,Medium-High,https://amandanat.com/,官方主页展示内容与商业服务。,,,20,15,10,10,10,10,75,10,15,15,10,20,70,10,20,5,10,45,67.5,P2,89,75,72,81.4,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
064,new80,Dan Shipper,Every,AI-native Creator / Media,AI newsletter + podcast + software,https://danshipper.com/,Official publication contact,https://every.to/about,Every 团队/公开联系入口,Every 将 AI 媒体、Podcast、软件与付费订阅结合，是 Onely Creator Business 模式的高 Fit 对照。,High,Paid media / software / podcast / newsletter,Very High,Very High,https://danshipper.com/,官方个人主页。,https://every.to/about,Every 官方 About 展示媒体+软件业务。,20,15,10,15,10,15,85,0,20,15,10,20,65,0,10,5,10,25,67.0,P2,94,55,90,81.5,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
038,new80,Arvid Kahl,The Bootstrapped Founder,Creator Entrepreneur,Newsletter + podcast + books + calls,https://linktr.ee/arvidkahl,Public support email,https://thebootstrappedfounder.com/privacy-policy/,support@thebootstrappedfounder.com,作者、创业者和教育型 Creator，经营 Newsletter、Podcast、书籍、课程/咨询，单人商业属性强。,High,Books / newsletter / podcast / consulting,High,High,https://linktr.ee/arvidkahl,官方链接页汇总多种内容和商业资产。,https://thebootstrappedfounder.com/,官方内容品牌主页。,20,20,10,10,10,10,80,20,15,15,10,20,80,0,0,5,10,15,67.0,P2,92,82,85,87.6,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
043,new80,Steph Smith,Steph Smith,Creator Entrepreneur / Tech Creator,Newsletter + book + community,https://stephsmith.io/,Official site / social,https://stephsmith.io/,官网公开社媒/联系入口,科技/内容交叉型 Creator，经营书籍、内容产品和社区，熟悉 Creator Program 与 AI 工具。,High,Book / community / digital products,High,High,https://stephsmith.io/,官方主页展示内容、产品和社区。,,,20,20,10,10,10,10,80,10,15,15,10,20,70,0,10,10,10,30,67.0,P2,87,65,75,78.0,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
028,new80,Ali Abdaal,Ali Abdaal,Creator Entrepreneur,YouTube + newsletter + courses + apps,https://aliabdaal.com/,Official contact / sponsorship form,https://aliabdaal.com/contact/,官网联系/赞助表单,拥有 Newsletter、课程、App 和成熟内容团队，完整覆盖 Creator Business，但体量大、切换成本高。,High,Courses / apps / sponsorship / newsletter,High,Very High,https://aliabdaal.com/,官方主页展示内容、Newsletter、产品与课程。,https://aliabdaal.com/contact/,官方联系页。,20,20,10,10,10,10,80,15,15,15,10,20,75,0,0,5,10,15,65.5,P2,96,45,90,79.5,A,2026-09-13,candidate_verified,not_contacted_case_restriction,更适合作为高 Fit 参照组，而非首日优先触达。,v2.0-evidence-rubric-50-30-20
031,new80,Tiago Forte,Forte Labs / Building a Second Brain,Creator Entrepreneur / Educator,Newsletter + courses + community,https://www.buildingasecondbrain.com/,Public support email,https://www.buildingasecondbrain.com/,support@fortelabs.com,拥有课程、书籍、Newsletter、社群，并在 2026 持续做 AI 教育；付费受众和 AI 接受度都很强。,High,Courses / community / books / newsletter,High,Very High,https://buildingasecondbrain.com/ai-second-brain,官方 AI 课程页面，显示 AI 方向活跃。,https://www.buildingasecondbrain.com/,官方主页。,20,20,10,10,10,10,80,20,15,5,5,20,65,10,0,10,10,30,65.5,P2,95,52,94,81.9,A,2026-09-13,candidate_verified,not_contacted_case_restriction,规模较大，适合 P1 参照。,v2.0-evidence-rubric-50-30-20
049,new80,Wes Kao,Wes Kao,Creator Entrepreneur / Educator,Newsletter + courses + coaching,https://www.weskao.com/home,Official site / public email,https://www.weskao.com/home,官网公开联系入口,面向运营者和知识工作者经营 Newsletter、课程/辅导，拥有稳定高价值受众和教育产品。,High,Courses / coaching / newsletter,High,High,https://www.weskao.com/home,官方主页展示内容、受众和服务。,,,20,20,5,10,10,10,75,20,15,15,10,20,80,10,0,5,5,20,65.5,P2,91,65,88,82.6,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
032,new80,David Perell,David Perell / Write of Passage,Creator Entrepreneur / Educator,Newsletter + course + podcast,https://perell.com/start-here/,Public business email,https://perell.com/start-here/,hello@perell.com,经营写作课程、Newsletter、Podcast 和长期个人品牌，拥有高价值受众和付费教育产品。,High,Course / newsletter / podcast,Medium-High,Very High,https://perell.com/write-of-passage-course/,官方课程页展示付费产品。,https://perell.com/start-here/,官方主页提供联系信息。,20,15,10,10,10,10,75,20,10,15,10,20,75,10,0,5,10,25,65.0,P2,94,73,92,87.3,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
058,new80,Paul Couvert,Paul Couvert,AI-native Creator / Educator,AI/no-code content + newsletter,https://paulcouvert.com/,Official site / consulting,https://paulai.cc/,Newsletter/咨询入口,持续教授 AI/No-code、经营 Newsletter 和咨询，具备高 AI 亲和和商业化意愿。,High,Newsletter / consulting / sponsorship,Very High,Medium-High,https://paulcouvert.com/about,官方 About 可核验 AI Creator 身份。,https://paulai.cc/,Newsletter/商业入口。,20,15,5,10,10,15,75,0,20,15,10,20,65,10,20,5,5,40,65.0,P2,92,86,65,84.8,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
010,pilot20,Caitie,Caitie UGC,Tech/SaaS UGC,Website + TikTok/Instagram/YouTube,https://caitieugc.com/,Public email / contact form,https://caitieugc.com/,官网公开联系,专注 AI App、软件和科技内容，并有多平台与品牌合作经验；非常容易进入产品试用。,Medium,UGC / brand services,High,Medium,https://caitieugc.com/,官网展示 Tech/AI App 内容与商业合作。,,,10,15,15,15,5,10,70,25,15,20,15,15,90,0,0,0,15,15,65.0,P2,80,91,48,76.9,A,2026-09-13,candidate_verified,not_contacted_case_restriction,自有商业化和粉丝关系需求需要进一步确认。,v2.0-evidence-rubric-50-30-20
022,new80,Justin Welsh,Justin Welsh,Creator Entrepreneur,Newsletter + courses + social,https://learn.justinwelsh.me/about,Public support email / contact page,https://learn.justinwelsh.me/contact,support@justinwelsh.me,典型一人公司 Creator，拥有大规模 Newsletter、课程和数字产品；Onely 的内容→受众→销售闭环高度匹配。,High,Courses / newsletter / digital products / sponsorship,Medium-High,High,https://learn.justinwelsh.me/about,官方 About 展示创作者业务、受众和课程。,https://learn.justinwelsh.me/contact,官方联系页公开支持邮箱与商务渠道。,20,20,10,10,10,10,80,20,10,10,10,20,70,0,0,5,10,15,64.0,P3,94,62,85,82.6,A,2026-09-13,candidate_verified,not_contacted_case_restriction,成熟工具栈可能提高切换成本。,v2.0-evidence-rubric-50-30-20
051,new80,Matt Wolfe,Future Tools,AI-native Creator,Newsletter + YouTube + AI directory,https://futuretools.io/about,Official business inquiry form,https://mattwolfe.com/contact,官网商务表单,经营 Future Tools、AI Newsletter 与 YouTube，是高 AI 亲和、高受众所有权的 Creator Business。,High,Newsletter / sponsorship / media / AI directory,Very High,High,https://futuretools.io/about,官方 About 展示 Future Tools 与 AI 内容业务。,https://mattwolfe.com/contact,官方商务联系入口。,20,5,10,10,10,15,70,15,20,15,10,20,80,0,10,5,10,25,64.0,P3,95,68,87,85.3,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
025,new80,Latasha James,Latasha James,Creator Entrepreneur / Marketing Educator,YouTube + courses + services,https://www.latashajames.com/,Public business email,https://www.latashajames.com/contact,hey@latashajames.com,内容创作者、营销策略师和商业教练，经营课程、服务与多平台内容；与 Onely 的运营整合价值高度匹配。,High,Courses / services / creator education,High,Very High,https://www.latashajames.com/,官方主页展示 Creator/Marketing 业务。,https://www.latashajames.com/contact,官方联系页公开邮箱。,15,20,5,10,5,10,65,20,15,15,10,15,75,20,20,0,5,45,64.0,P3,94,82,90,89.6,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
061,new80,Linus Ekenstam,Inside My Head,AI-native Creator / Designer,Newsletter + AI/design content,https://insidemyhead.ai/about,Official site / partnerships,https://insidemyhead.ai/about,官网赞助/合作入口,AI、设计和数字产品交叉 Creator，经营 Newsletter/社区，适合测试视觉内容和粉丝关系。,High,Newsletter / digital products / partnerships,Very High,High,https://insidemyhead.ai/about,官方 About 展示 AI/设计 Creator 业务。,,,20,20,5,10,10,15,80,0,20,15,10,20,65,0,10,5,5,20,63.5,P3,91,78,75,83.9,A,2026-09-13,candidate_verified,not_contacted_case_restriction,,v2.0-evidence-rubric-50-30-20
